BB3_name,Threshold
VX+ES,10.0
VX2+ES,20.0
VX-VS,25.0
VX2-VS2,45.0
VX3-VS3,55.0
VX4-VS4,65.0
ZF-ZB+.3*ES,15.0
ZN-ZB+.3*ES,20
ZF-ZB-.33*VX2,20.0
ZN-ZB-.33*VX2,20
