BB3_name,Threshold
US2Y-ZT,45
US3Y-ZT,35
US3Y-ZF,20
US3Y-US5Y,20
US3Y-US10Y,20
US5Y-ZF,15
US5Y-US10Y,15
US10Y-ZN,15
US10Y-ZB,15
US10Y-TN,15
US7Y-ZN,20
ZT-ZF,25
ZF-ZN,15
ZF-ZB,15
ZF-UB,10
ZN-ZB,15
ZN-UB,15
