BB3_name,Threshold
GBS-GBM,25
GBS-GBL,20
GBM-GBL,10
GBM-GBX,15
GBL-GBX,10
2*GBM-GBS-GBL,40
2*GBL-GBM-GBX,20
U5-2*GBM+GBL,95
U6-2*GBM+GBL,85
U7-2*GBM+GBL,75
U8-2*GBM+GBL,65
U9-2*GBM+GBL,55
U10-2*GBL+GBX,50
U11-2*GBL+GBX,45
U12-2*GBL+GBX,45
GBS-3*GBM+3*GBL-GBX,55
