BB3_name,Threshold
L10-R,40.0
L11-R,40.0
L12-R,40.0
L8-R,45.0
L9-R,40.0
L_BLUE-R,40.0
L_GREEN-R,40.0
U10-GBL,40.0
U10-GBM,45.0
U11-GBL,35.0
U11-GBM,40.0
U12-GBL,35.0
U12-GBM,40.0
U13-GBL,30.0
U14-GBL,30.0
U15-GBL,30.0
U16-GBL,30.0
U4-GBS,95.0
U5-GBS,90.0
U6-GBM,80.0
U6-GBS,85.0
U7-GBM,65.0
U7-GBS,75.0
U8-GBL,50.0
U8-GBM,55.0
U9-GBL,45.0
U9-GBM,50.0
U_BLUE-GBL,60.0
U_BLUE-GBX,60.0
U_GREEN-GBL,55.0
U_GREEN-GBM,60.0
U_RED-GBS,70.0
U_WHITE-GBS,70.0
,
