,Sharpe_10,Sharpe_30
2*ZB-US10Y-US30Y,2.762909943157016,3.144079188693531
GE16-2*US10Y+UB,2.164305231173833,2.1942779015550125
2*ZN-ZF-ZB,1.9618034519253902,1.5130842238426152
2*ZB-UB-TN,1.8431023368390549,1.5114103414795255
ZF-2*GE14+US10Y,1.6859502803320292,2.4674794685348584
GE6-2*ZF+ZN,1.616798830654107,1.5264362481074034
GE11-2*ZN+ZB,1.481381645140213,0.8299623307931782
ZF-2*US5Y+GE15,1.44896915540116,1.427878332409935
US3Y-2*ZF+GOLD,1.2578131752864234,2.0496722116567017
BLUE-2*US10Y+ZB,1.1411807370507303,1.8012494906487428
BLUE-2*ZN+ZB,1.0606175529881137,1.0092938443072832
GE11-US7Y+ZB,1.043660500766482,1.5530202553118797
GE5-2*ZF+ZN,0.8525074277991127,1.483539589228978
2*UB-ZB-US30Y,0.8306411247995213,1.0640614480851627
2*US10Y-ZN-ZB,0.7376869329554282,1.4452751735443405
GE15-2*US10Y+UB,0.5382239050925794,0.8109303623896613
2*ZF-US3Y-ZN,0.46730592768793666,2.181072160294869
2*ZN-US5Y-US10Y,0.4409510142422951,1.8942399407355073
GOLD-2*ZB+UB,0.3048043653384979,0.468755064220283
ZT-3*ZF+3*ZN-ZB,0.2914634951354532,1.0507573405399802
US5Y-2*ZN+GE19,0.24472954545668157,1.4734173513453355
RED-2*GE12+GOLD,0.037932934511710814,-0.029611669655606437
BLUE-2*ZF+ZN,-0.17234137890418327,-0.11537997320764928
2*ZF-ZT-ZN,-0.3162290213276643,0.9110591842728932
ZT-2*ZF+GOLD,-0.45706456307536036,0.18025745009636593
GE6-2*US5Y+GE17,-0.6818372209408714,1.5816211235306281
ZF-2*BLUE+GE20,-0.7944217297410587,1.2783112548440971
GE4-2*ZF+ZN,-0.9189038769271564,0.18935932198545508
US3Y-2*US5Y+GOLD,-1.9934264705952993,0.22441881295039867
2*ZN-ZF-TN,-2.6328202386431343,-0.27954650496405226
