,CP2
2018-08-10 02:29:00,4736.96
2018-08-10 02:30:00,4736.96
2018-08-10 02:31:00,4809.28
2018-08-10 02:32:00,5062.4
2018-08-10 02:33:00,4736.96
2018-08-10 02:34:00,4556.16
2018-08-10 02:35:00,4592.32
2018-08-10 02:36:00,4664.64
2018-08-10 02:37:00,4411.52
2018-08-10 02:38:00,4266.88
2018-08-10 02:39:00,4556.16
2018-08-10 02:40:00,4411.52
2018-08-10 02:41:00,4411.52
2018-08-10 02:42:00,3977.6
2018-08-10 02:43:00,4266.88
2018-08-10 02:44:00,4266.88
2018-08-10 02:45:00,4158.4
2018-08-10 02:46:00,4013.76
2018-08-10 02:47:00,4122.24
2018-08-10 02:48:00,3905.28
2018-08-10 02:49:00,3435.2
2018-08-10 02:50:00,3073.6
2018-08-10 02:51:00,3073.6
2018-08-10 02:52:00,3290.56
2018-08-10 02:53:00,3652.16
2018-08-10 02:54:00,3652.16
2018-08-10 02:55:00,3688.32
2018-08-10 02:56:00,3652.16
2018-08-10 02:57:00,3652.16
2018-08-10 02:58:00,3869.12
2018-08-10 02:59:00,3905.28
2018-08-10 03:00:00,4086.08
2018-08-10 03:01:00,4122.24
2018-08-10 03:02:00,4303.04
2018-08-10 03:03:00,4375.36
2018-08-10 03:04:00,4592.32
2018-08-10 03:05:00,4592.32
2018-08-10 03:06:00,4592.32
2018-08-10 03:07:00,4556.16
2018-08-10 03:08:00,4592.32
2018-08-10 03:09:00,4556.16
2018-08-10 03:10:00,4664.64
2018-08-10 03:11:00,4556.16
2018-08-10 03:12:00,4809.28
2018-08-10 03:13:00,5062.4
2018-08-10 03:14:00,4845.44
2018-08-10 03:15:00,4592.32
2018-08-10 03:16:00,4809.28
2018-08-10 03:17:00,4881.6
2018-08-10 03:18:00,5026.24
2018-08-10 03:19:00,4917.76
2018-08-10 03:20:00,5026.24
2018-08-10 03:21:00,5134.72
2018-08-10 03:22:00,5279.36
2018-08-10 03:23:00,5207.04
2018-08-10 03:24:00,5460.16
2018-08-10 03:25:00,5207.04
2018-08-10 03:26:00,5062.4
2018-08-10 03:27:00,5062.4
2018-08-10 03:28:00,5026.24
2018-08-10 03:29:00,5098.56
2018-08-10 03:30:00,5387.84
2018-08-10 03:31:00,5424.0
2018-08-10 03:32:00,5279.36
2018-08-10 03:33:00,5677.12
2018-08-10 03:34:00,6255.68
2018-08-10 03:35:00,6038.72
2018-08-10 03:36:00,5713.28
2018-08-10 03:37:00,5604.8
2018-08-10 03:38:00,5532.48
2018-08-10 03:39:00,5243.2
2018-08-10 03:40:00,5134.72
2018-08-10 03:41:00,5026.24
2018-08-10 03:42:00,5134.72
2018-08-10 03:43:00,5315.52
2018-08-10 03:44:00,5315.52
2018-08-10 03:45:00,5062.4
2018-08-10 03:46:00,4953.92
2018-08-10 03:47:00,5134.72
2018-08-10 03:48:00,4953.92
2018-08-10 03:49:00,5207.04
2018-08-10 03:50:00,5134.72
