,Sharpe_10,Sharpe_30
U11-GBL,2.692336071226489,3.447548707182144
U9-GBL,2.318871515230442,2.2971165494817356
U14-GBL,2.1594793736350044,2.5769579209709654
U_GREEN-GBL,1.8885529367583342,1.3563520251766468
U15-GBL,1.789374600812333,2.3650598261153237
U13-GBL,1.7273005727709092,2.6028271299624373
U12-GBL,1.656385202999991,1.9118674573025427
U11-GBM,1.5032057948553919,1.692303313708082
U8-GBL,1.3368789798451841,0.607566781189055
U10-GBL,1.3106429417335346,2.21475016199738
U_GREEN-GBM,1.2879067988563266,1.507939127576649
U6-GBS,1.2565203151096307,0.31530343966360236
U7-GBM,1.110714174283708,0.73580330067799
U_BLUE-GBL,1.1065801856102557,0.9047410864928296
U12-GBM,1.0847942521113707,0.9653734545928246
U_BLUE-GBX,0.922813300527189,0.5404424527850178
U7-GBS,0.6513116563187602,0.9429100811361432
U9-GBM,0.5652996742127503,2.077053047299682
U10-GBM,0.5580061653715496,1.1162589822611704
U16-GBL,0.5446095321900551,1.668406286696541
U8-GBM,0.5403064388089475,1.1197327557668495
U6-GBM,0.4924645933722256,0.38207981575675715
L9-R,0.10515542166581922,0.8800264692693742
L8-R,0.04223226959839228,1.370737860501909
L10-R,-0.22947879978846228,1.3894183647893883
U4-GBS,-0.4526373282317188,-0.39763372211429027
U_WHITE-GBS,-0.7103755254366827,-0.7756039785112624
U_RED-GBS,-1.1844240100775845,-0.6470950527883987
U5-GBS,-1.4288230144617993,0.6598843089737403
L12-R,-1.5689907669338525,-0.33916081136842186
L_GREEN-R,-1.6003860545129727,0.03733265922833444
L_BLUE-R,-1.8324383090296923,-1.3474673740163137
L11-R,-2.2781068223216736,0.7617857790384097
