,BAX3
2018-07-11 04:59:00,-679.076112
2018-07-11 05:00:00,-662.312112
2018-07-11 05:01:00,-645.548112
2018-07-11 05:02:00,-695.840112
2018-07-11 05:03:00,-679.076112
2018-07-11 05:04:00,-679.076112
2018-07-11 05:05:00,-679.076112
2018-07-11 05:06:00,-679.076112
2018-07-11 05:07:00,-712.604112
2018-07-11 05:08:00,-679.076112
2018-07-11 05:09:00,-679.076112
2018-07-11 05:10:00,-712.604112
2018-07-11 05:11:00,-712.604112
2018-07-11 05:12:00,-712.604112
2018-07-11 05:13:00,-712.604112
2018-07-11 05:14:00,-712.604112
2018-07-11 05:15:00,-712.604112
2018-07-11 05:16:00,-712.604112
2018-07-11 05:17:00,-712.604112
2018-07-11 05:18:00,-712.604112
2018-07-11 05:19:00,-712.604112
2018-07-11 05:20:00,-712.604112
2018-07-11 05:21:00,-712.604112
2018-07-11 05:22:00,-712.604112
2018-07-11 05:23:00,-746.132112
2018-07-11 05:24:00,-712.604112
2018-07-11 05:25:00,-712.604112
2018-07-11 05:26:00,-712.604112
2018-07-11 05:27:00,-712.604112
2018-07-11 05:28:00,-712.604112
2018-07-11 05:29:00,-712.604112
2018-07-11 05:30:00,-712.604112
2018-07-11 05:31:00,-712.604112
2018-07-11 05:32:00,-712.604112
2018-07-11 05:33:00,-712.604112
2018-07-11 05:34:00,-712.604112
2018-07-11 05:35:00,-712.604112
2018-07-11 05:36:00,-712.604112
2018-07-11 05:37:00,-712.604112
2018-07-11 05:38:00,-712.604112
2018-07-11 05:39:00,-712.604112
2018-07-11 05:40:00,-712.604112
2018-07-11 05:41:00,-712.604112
2018-07-11 05:42:00,-712.604112
2018-07-11 05:43:00,-712.604112
2018-07-11 05:44:00,-712.604112
2018-07-11 05:45:00,-712.604112
2018-07-11 05:46:00,-712.604112
2018-07-11 05:47:00,-712.604112
2018-07-11 05:48:00,-712.604112
2018-07-11 05:49:00,-746.132112
2018-07-11 05:50:00,-746.132112
2018-07-11 05:51:00,-746.132112
2018-07-11 05:52:00,-746.132112
2018-07-11 05:53:00,-746.132112
2018-07-11 05:54:00,-746.132112
2018-07-11 05:55:00,-746.132112
2018-07-11 05:56:00,-779.660112
2018-07-11 05:57:00,-779.660112
2018-07-11 05:58:00,-779.660112
2018-07-11 05:59:00,-779.660112
2018-07-11 06:00:00,-779.660112
2018-07-11 06:01:00,-779.660112
2018-07-11 06:02:00,-779.660112
2018-07-11 06:03:00,-746.132112
2018-07-11 06:04:00,-746.132112
2018-07-11 06:05:00,-679.076112
2018-07-11 06:06:00,-712.604112
2018-07-11 06:07:00,-712.604112
2018-07-11 06:08:00,-712.604112
2018-07-11 06:09:00,-712.604112
