,VX3-VX1
2018-07-22 16:59:00,590.48712
2018-07-22 17:00:00,603.26712
2018-07-22 17:01:00,596.87712
2018-07-22 17:02:00,590.48712
2018-07-22 17:03:00,571.31712
2018-07-22 17:04:00,564.92712
2018-07-22 17:05:00,609.65712
2018-07-22 17:06:00,609.65712
2018-07-22 17:07:00,609.65712
2018-07-22 17:08:00,609.65712
2018-07-22 17:09:00,609.65712
2018-07-22 17:10:00,609.65712
2018-07-22 17:11:00,609.65712
2018-07-22 17:12:00,609.65712
2018-07-22 17:13:00,609.65712
2018-07-22 17:14:00,609.65712
2018-07-22 17:15:00,609.65712
2018-07-22 17:16:00,609.65712
2018-07-22 17:17:00,609.65712
2018-07-22 17:18:00,609.65712
2018-07-22 17:19:00,603.26712
2018-07-22 17:20:00,603.26712
2018-07-22 17:21:00,603.26712
2018-07-22 17:22:00,603.26712
2018-07-22 17:23:00,603.26712
2018-07-22 17:24:00,603.26712
2018-07-22 17:25:00,603.26712
2018-07-22 17:26:00,609.65712
2018-07-22 17:27:00,603.26712
2018-07-22 17:28:00,603.26712
2018-07-22 17:29:00,603.26712
2018-07-22 17:30:00,603.26712
2018-07-22 17:31:00,603.26712
2018-07-22 17:32:00,609.65712
2018-07-22 17:33:00,609.65712
2018-07-22 17:34:00,609.65712
2018-07-22 17:35:00,609.65712
2018-07-22 17:36:00,609.65712
2018-07-22 17:37:00,609.65712
2018-07-22 17:38:00,609.65712
2018-07-22 17:39:00,609.65712
2018-07-22 17:40:00,609.65712
2018-07-22 17:41:00,609.65712
2018-07-22 17:42:00,609.65712
2018-07-22 17:43:00,609.65712
2018-07-22 17:44:00,609.65712
2018-07-22 17:45:00,609.65712
2018-07-22 17:46:00,609.65712
2018-07-22 17:47:00,609.65712
2018-07-22 17:48:00,609.65712
2018-07-22 17:49:00,609.65712
2018-07-22 17:50:00,609.65712
2018-07-22 17:51:00,596.87712
2018-07-22 17:52:00,596.87712
2018-07-22 17:53:00,590.48712
2018-07-22 17:54:00,609.65712
2018-07-22 17:55:00,609.65712
2018-07-22 17:56:00,609.65712
2018-07-22 17:57:00,609.65712
2018-07-22 17:58:00,609.65712
2018-07-22 17:59:00,609.65712
2018-07-22 18:00:00,609.65712
2018-07-22 18:01:00,609.65712
2018-07-22 18:02:00,609.65712
2018-07-22 18:03:00,609.65712
2018-07-22 18:04:00,609.65712
2018-07-22 18:05:00,609.65712
2018-07-22 18:06:00,609.65712
2018-07-22 18:07:00,609.65712
2018-07-22 18:08:00,609.65712
