,RB9
2018-07-10 00:00:00,-1901578.92834
2018-07-10 00:01:00,-1901576.60784
2018-07-10 00:02:00,-1901578.92834
2018-07-10 00:03:00,-1901583.56934
2018-07-10 00:04:00,-1901582.64114
2018-07-10 00:05:00,-1901581.24884
2018-07-10 00:06:00,-1901576.60784
2018-07-10 00:07:00,-1901545.97724
2018-07-10 00:08:00,-1901549.22594
2018-07-10 00:09:00,-1901548.76184
2018-07-10 00:10:00,-1901548.29774
2018-07-10 00:11:00,-1901548.76184
2018-07-10 00:12:00,-1901542.72854
2018-07-10 00:13:00,-1901549.22594
2018-07-10 00:14:00,-1901547.83364
2018-07-10 00:15:00,-1901548.76184
2018-07-10 00:16:00,-1901552.93874
2018-07-10 00:17:00,-1901552.93874
2018-07-10 00:18:00,-1901552.93874
2018-07-10 00:19:00,-1901555.72334
2018-07-10 00:20:00,-1901552.47464
2018-07-10 00:21:00,-1901553.86694
2018-07-10 00:22:00,-1901553.86694
2018-07-10 00:23:00,-1901554.33104
2018-07-10 00:24:00,-1901556.65154
2018-07-10 00:25:00,-1901559.43614
2018-07-10 00:26:00,-1901557.11564
2018-07-10 00:27:00,-1901557.57974
2018-07-10 00:28:00,-1901562.22074
2018-07-10 00:29:00,-1901564.54124
2018-07-10 00:30:00,-1901570.57454
2018-07-10 00:31:00,-1901571.50274
2018-07-10 00:32:00,-1901570.11044
2018-07-10 00:33:00,-1901568.25404
2018-07-10 00:34:00,-1901570.11044
2018-07-10 00:35:00,-1901570.57454
2018-07-10 00:36:00,-1901571.50274
2018-07-10 00:37:00,-1901571.50274
2018-07-10 00:38:00,-1901569.64634
2018-07-10 00:39:00,-1901570.11044
2018-07-10 00:40:00,-1901571.03864
2018-07-10 00:41:00,-1901571.03864
2018-07-10 00:42:00,-1901568.71814
2018-07-10 00:43:00,-1901571.03864
2018-07-10 00:44:00,-1901574.28734
2018-07-10 00:45:00,-1901574.75144
2018-07-10 00:46:00,-1901573.35914
2018-07-10 00:47:00,-1901570.11044
2018-07-10 00:48:00,-1901572.89504
2018-07-10 00:49:00,-1901575.21554
2018-07-10 00:50:00,-1901583.10524
2018-07-10 00:51:00,-1901583.56934
2018-07-10 00:52:00,-1901584.03344
2018-07-10 00:53:00,-1901584.49754
2018-07-10 00:54:00,-1901583.56934
2018-07-10 00:55:00,-1901583.56934
2018-07-10 00:56:00,-1901583.56934
2018-07-10 00:57:00,-1901583.56934
2018-07-10 00:58:00,-1901579.39244
2018-07-10 00:59:00,-1901581.24884
2018-07-10 01:00:00,-1901583.56934
2018-07-10 01:01:00,-1901579.85654
2018-07-10 01:02:00,-1901573.35914
2018-07-10 01:03:00,-1901578.46424
2018-07-10 01:04:00,-1901577.07194
2018-07-10 01:05:00,-1901583.56934
2018-07-10 01:06:00,-1901586.81804
2018-07-10 01:07:00,-1901583.56934
2018-07-10 01:08:00,-1901581.24884
2018-07-10 01:09:00,-1901581.24884
2018-07-10 01:10:00,-1901587.74624
2018-07-10 01:11:00,-1901589.13854
2018-07-10 01:12:00,-1901589.13854
2018-07-10 01:13:00,-1901587.28214
2018-07-10 01:14:00,-1901589.13854
2018-07-10 01:15:00,-1901597.02824
2018-07-10 01:16:00,-1901593.31544
2018-07-10 01:17:00,-1901590.99494
2018-07-10 01:18:00,-1901589.60264
2018-07-10 01:19:00,-1901587.74624
2018-07-10 01:20:00,-1901586.35394
2018-07-10 01:21:00,-1901578.46424
2018-07-10 01:22:00,-1901573.82324
2018-07-10 01:23:00,-1901574.28734
2018-07-10 01:24:00,-1901577.53604
2018-07-10 01:25:00,-1901574.28734
2018-07-10 01:26:00,-1901573.82324
2018-07-10 01:27:00,-1901576.14374
2018-07-10 01:28:00,-1901573.35914
2018-07-10 01:29:00,-1901573.35914
2018-07-10 01:30:00,-1901572.89504
2018-07-10 01:31:00,-1901573.82324
2018-07-10 01:32:00,-1901572.89504
2018-07-10 01:33:00,-1901573.82324
2018-07-10 01:34:00,-1901574.28734
2018-07-10 01:35:00,-1901572.43094
2018-07-10 01:36:00,-1901570.11044
2018-07-10 01:37:00,-1901568.25404
2018-07-10 01:38:00,-1901565.00534
2018-07-10 01:39:00,-1901562.68484
2018-07-10 01:40:00,-1901559.90024
2018-07-10 01:41:00,-1901555.25924
2018-07-10 01:42:00,-1901557.57974
2018-07-10 01:43:00,-1901559.43614
2018-07-10 01:44:00,-1901569.18224
2018-07-10 01:45:00,-1901572.43094
2018-07-10 01:46:00,-1901573.35914
2018-07-10 01:47:00,-1901569.64634
2018-07-10 01:48:00,-1901572.43094
2018-07-10 01:49:00,-1901568.25404
2018-07-10 01:50:00,-1901569.18224
2018-07-10 01:51:00,-1901573.35914
2018-07-10 01:52:00,-1901571.96684
2018-07-10 01:53:00,-1901565.46944
2018-07-10 01:54:00,-1901566.39764
2018-07-10 01:55:00,-1901558.04384
