,CL12
2018-06-03 16:59:00,110855.08403
2018-06-03 17:00:00,110657.94903
2018-06-03 17:01:00,110691.17403
2018-06-03 17:02:00,110695.60403
2018-06-03 17:03:00,110684.52903
2018-06-03 17:04:00,110682.31403
2018-06-03 17:05:00,110693.38903
2018-06-03 17:06:00,110693.38903
2018-06-03 17:07:00,110684.52903
2018-06-03 17:08:00,110688.95903
2018-06-03 17:09:00,110688.95903
2018-06-03 17:10:00,110688.95903
2018-06-03 17:11:00,110691.17403
2018-06-03 17:12:00,110669.02403
2018-06-03 17:13:00,110682.31403
2018-06-03 17:14:00,110682.31403
2018-06-03 17:15:00,110680.09903
2018-06-03 17:16:00,110682.31403
2018-06-03 17:17:00,110693.38903
2018-06-03 17:18:00,110691.17403
2018-06-03 17:19:00,110697.81903
2018-06-03 17:20:00,110693.38903
2018-06-03 17:21:00,110693.38903
2018-06-03 17:22:00,110693.38903
2018-06-03 17:23:00,110649.08903
2018-06-03 17:24:00,110651.30403
2018-06-03 17:25:00,110651.30403
2018-06-03 17:26:00,110651.30403
2018-06-03 17:27:00,110655.73403
2018-06-03 17:28:00,110635.79903
2018-06-03 17:29:00,110633.58403
2018-06-03 17:30:00,110631.36903
2018-06-03 17:31:00,110631.36903
2018-06-03 17:32:00,110633.58403
2018-06-03 17:33:00,110633.58403
2018-06-03 17:34:00,110631.36903
2018-06-03 17:35:00,110631.36903
2018-06-03 17:36:00,110622.50903
2018-06-03 17:37:00,110604.78903
2018-06-03 17:38:00,110609.21903
2018-06-03 17:39:00,110622.50903
2018-06-03 17:40:00,110607.00403
2018-06-03 17:41:00,110609.21903
2018-06-03 17:42:00,110611.43403
2018-06-03 17:43:00,110622.50903
2018-06-03 17:44:00,110622.50903
2018-06-03 17:45:00,110611.43403
2018-06-03 17:46:00,110611.43403
2018-06-03 17:47:00,110611.43403
2018-06-03 17:48:00,110602.57403
2018-06-03 17:49:00,110611.43403
2018-06-03 17:50:00,110615.86403
2018-06-03 17:51:00,110622.50903
2018-06-03 17:52:00,110626.93903
2018-06-03 17:53:00,110638.01403
2018-06-03 17:54:00,110629.15403
2018-06-03 17:55:00,110626.93903
2018-06-03 17:56:00,110631.36903
2018-06-03 17:57:00,110633.58403
2018-06-03 17:58:00,110626.93903
2018-06-03 17:59:00,110626.93903
2018-06-03 18:00:00,110624.72403
2018-06-03 18:01:00,110629.15403
2018-06-03 18:02:00,110635.79903
2018-06-03 18:03:00,110633.58403
2018-06-03 18:04:00,110638.01403
2018-06-03 18:05:00,110633.58403
2018-06-03 18:06:00,110631.36903
2018-06-03 18:07:00,110631.36903
2018-06-03 18:08:00,110631.36903
2018-06-03 18:09:00,110626.93903
2018-06-03 18:10:00,110626.93903
2018-06-03 18:11:00,110626.93903
2018-06-03 18:12:00,110626.93903
2018-06-03 18:13:00,110626.93903
2018-06-03 18:14:00,110631.36903
2018-06-03 18:15:00,110626.93903
2018-06-03 18:16:00,110629.15403
2018-06-03 18:17:00,110629.15403
2018-06-03 18:18:00,110629.15403
2018-06-03 18:19:00,110622.50903
2018-06-03 18:20:00,110620.29403
2018-06-03 18:21:00,110624.72403
2018-06-03 18:22:00,110624.72403
2018-06-03 18:23:00,110624.72403
2018-06-03 18:24:00,110624.72403
2018-06-03 18:25:00,110624.72403
2018-06-03 18:26:00,110620.29403
2018-06-03 18:27:00,110615.86403
2018-06-03 18:28:00,110615.86403
2018-06-03 18:29:00,110613.64903
2018-06-03 18:30:00,110613.64903
2018-06-03 18:31:00,110613.64903
2018-06-03 18:32:00,110615.86403
2018-06-03 18:33:00,110615.86403
2018-06-03 18:34:00,110620.29403
2018-06-03 18:35:00,110615.86403
2018-06-03 18:36:00,110618.07903
2018-06-03 18:37:00,110615.86403
2018-06-03 18:38:00,110620.29403
2018-06-03 18:39:00,110624.72403
2018-06-03 18:40:00,110626.93903
2018-06-03 18:41:00,110626.93903
2018-06-03 18:42:00,110626.93903
2018-06-03 18:43:00,110638.01403
2018-06-03 18:44:00,110638.01403
2018-06-03 18:45:00,110642.44403
2018-06-03 18:46:00,110640.22903
2018-06-03 18:47:00,110640.22903
2018-06-03 18:48:00,110644.65903
2018-06-03 18:49:00,110651.30403
2018-06-03 18:50:00,110642.44403
2018-06-03 18:51:00,110649.08903
2018-06-03 18:52:00,110649.08903
2018-06-03 18:53:00,110653.51903
2018-06-03 18:54:00,110657.94903
2018-06-03 18:55:00,110664.59403
2018-06-03 18:56:00,110664.59403
2018-06-03 18:57:00,110671.23903
2018-06-03 18:58:00,110666.80903
2018-06-03 18:59:00,110666.80903
2018-06-03 19:00:00,110680.09903
2018-06-03 19:01:00,110684.52903
2018-06-03 19:02:00,110675.66903
2018-06-03 19:03:00,110682.31403
2018-06-03 19:04:00,110686.74403
2018-06-03 19:05:00,110675.66903
2018-06-03 19:06:00,110677.88403
2018-06-03 19:07:00,110677.88403
2018-06-03 19:08:00,110675.66903
2018-06-03 19:09:00,110680.09903
2018-06-03 19:10:00,110686.74403
2018-06-03 19:11:00,110686.74403
2018-06-03 19:12:00,110680.09903
2018-06-03 19:13:00,110684.52903
2018-06-03 19:14:00,110691.17403
2018-06-03 19:15:00,110697.81903
2018-06-03 19:16:00,110697.81903
2018-06-03 19:17:00,110677.88403
2018-06-03 19:18:00,110697.81903
2018-06-03 19:19:00,110695.60403
2018-06-03 19:20:00,110697.81903
2018-06-03 19:21:00,110697.81903
2018-06-03 19:22:00,110697.81903
2018-06-03 19:23:00,110697.81903
2018-06-03 19:24:00,110697.81903
2018-06-03 19:25:00,110693.38903
2018-06-03 19:26:00,110697.81903
2018-06-03 19:27:00,110697.81903
2018-06-03 19:28:00,110708.89403
2018-06-03 19:29:00,110717.75403
2018-06-03 19:30:00,110708.89403
2018-06-03 19:31:00,110708.89403
2018-06-03 19:32:00,110704.46403
2018-06-03 19:33:00,110700.03403
2018-06-03 19:34:00,110700.03403
2018-06-03 19:35:00,110700.03403
2018-06-03 19:36:00,110702.24903
2018-06-03 19:37:00,110700.03403
2018-06-03 19:38:00,110700.03403
2018-06-03 19:39:00,110700.03403
2018-06-03 19:40:00,110700.03403
2018-06-03 19:41:00,110706.67903
2018-06-03 19:42:00,110706.67903
2018-06-03 19:43:00,110704.46403
2018-06-03 19:44:00,110708.89403
2018-06-03 19:45:00,110702.24903
2018-06-03 19:46:00,110702.24903
2018-06-03 19:47:00,110700.03403
2018-06-03 19:48:00,110695.60403
2018-06-03 19:49:00,110695.60403
2018-06-03 19:50:00,110700.03403
2018-06-03 19:51:00,110695.60403
2018-06-03 19:52:00,110691.17403
2018-06-03 19:53:00,110691.17403
2018-06-03 19:54:00,110688.95903
2018-06-03 19:55:00,110680.09903
2018-06-03 19:56:00,110673.45403
2018-06-03 19:57:00,110677.88403
2018-06-03 19:58:00,110686.74403
2018-06-03 19:59:00,110688.95903
2018-06-03 20:00:00,110686.74403
2018-06-03 20:01:00,110704.46403
2018-06-03 20:02:00,110713.32403
2018-06-03 20:03:00,110711.10903
2018-06-03 20:04:00,110708.89403
2018-06-03 20:05:00,110695.60403
2018-06-03 20:06:00,110688.95903
2018-06-03 20:07:00,110695.60403
2018-06-03 20:08:00,110693.38903
2018-06-03 20:09:00,110697.81903
2018-06-03 20:10:00,110693.38903
2018-06-03 20:11:00,110702.24903
2018-06-03 20:12:00,110700.03403
2018-06-03 20:13:00,110697.81903
2018-06-03 20:14:00,110697.81903
2018-06-03 20:15:00,110697.81903
2018-06-03 20:16:00,110691.17403
2018-06-03 20:17:00,110695.60403
2018-06-03 20:18:00,110688.95903
2018-06-03 20:19:00,110686.74403
2018-06-03 20:20:00,110682.31403
2018-06-03 20:21:00,110682.31403
2018-06-03 20:22:00,110693.38903
2018-06-03 20:23:00,110688.95903
2018-06-03 20:24:00,110688.95903
2018-06-03 20:25:00,110688.95903
2018-06-03 20:26:00,110693.38903
2018-06-03 20:27:00,110686.74403
2018-06-03 20:28:00,110686.74403
2018-06-03 20:29:00,110684.52903
2018-06-03 20:30:00,110691.17403
2018-06-03 20:31:00,110697.81903
2018-06-03 20:32:00,110693.38903
2018-06-03 20:33:00,110697.81903
2018-06-03 20:34:00,110706.67903
2018-06-03 20:35:00,110700.03403
2018-06-03 20:36:00,110706.67903
2018-06-03 20:37:00,110704.46403
2018-06-03 20:38:00,110711.10903
2018-06-03 20:39:00,110702.24903
2018-06-03 20:40:00,110711.10903
2018-06-03 20:41:00,110708.89403
2018-06-03 20:42:00,110711.10903
2018-06-03 20:43:00,110711.10903
2018-06-03 20:44:00,110711.10903
2018-06-03 20:45:00,110711.10903
2018-06-03 20:46:00,110715.53903
2018-06-03 20:47:00,110713.32403
2018-06-03 20:48:00,110715.53903
2018-06-03 20:49:00,110726.61403
2018-06-03 20:50:00,110724.39903
2018-06-03 20:51:00,110724.39903
2018-06-03 20:52:00,110713.32403
2018-06-03 20:53:00,110715.53903
2018-06-03 20:54:00,110711.10903
2018-06-03 20:55:00,110713.32403
2018-06-03 20:56:00,110713.32403
2018-06-03 20:57:00,110711.10903
2018-06-03 20:58:00,110704.46403
2018-06-03 20:59:00,110700.03403
2018-06-03 21:00:00,110700.03403
2018-06-03 21:01:00,110708.89403
2018-06-03 21:02:00,110700.03403
2018-06-03 21:03:00,110695.60403
2018-06-03 21:04:00,110691.17403
2018-06-03 21:05:00,110686.74403
2018-06-03 21:06:00,110684.52903
2018-06-03 21:07:00,110691.17403
2018-06-03 21:08:00,110695.60403
2018-06-03 21:09:00,110688.95903
2018-06-03 21:10:00,110688.95903
2018-06-03 21:11:00,110684.52903
2018-06-03 21:12:00,110686.74403
2018-06-03 21:13:00,110691.17403
2018-06-03 21:14:00,110688.95903
2018-06-03 21:15:00,110686.74403
2018-06-03 21:16:00,110688.95903
2018-06-03 21:17:00,110684.52903
2018-06-03 21:18:00,110684.52903
2018-06-03 21:19:00,110686.74403
2018-06-03 21:20:00,110686.74403
2018-06-03 21:21:00,110684.52903
2018-06-03 21:22:00,110684.52903
2018-06-03 21:23:00,110684.52903
2018-06-03 21:24:00,110686.74403
2018-06-03 21:25:00,110688.95903
2018-06-03 21:26:00,110688.95903
2018-06-03 21:27:00,110693.38903
2018-06-03 21:28:00,110695.60403
2018-06-03 21:29:00,110708.89403
2018-06-03 21:30:00,110708.89403
2018-06-03 21:31:00,110704.46403
2018-06-03 21:32:00,110704.46403
2018-06-03 21:33:00,110700.03403
2018-06-03 21:34:00,110697.81903
2018-06-03 21:35:00,110693.38903
2018-06-03 21:36:00,110691.17403
2018-06-03 21:37:00,110691.17403
2018-06-03 21:38:00,110691.17403
2018-06-03 21:39:00,110671.23903
2018-06-03 21:40:00,110675.66903
2018-06-03 21:41:00,110657.94903
