,RB10
2018-06-04 00:00:00,-2050164.89874
2018-06-04 00:01:00,-2050164.89874
2018-06-04 00:02:00,-2050164.89874
2018-06-04 00:03:00,-2050168.14324
2018-06-04 00:04:00,-2050160.35644
2018-06-04 00:05:00,-2050161.65424
2018-06-04 00:06:00,-2050159.05864
2018-06-04 00:07:00,-2050157.76084
2018-06-04 00:08:00,-2050159.05864
2018-06-04 00:09:00,-2050159.05864
2018-06-04 00:10:00,-2050159.70754
2018-06-04 00:11:00,-2050159.05864
2018-06-04 00:12:00,-2050157.11194
2018-06-04 00:13:00,-2050156.46304
2018-06-04 00:14:00,-2050156.46304
2018-06-04 00:15:00,-2050156.46304
2018-06-04 00:16:00,-2050159.05864
2018-06-04 00:17:00,-2050158.40974
2018-06-04 00:18:00,-2050161.00534
2018-06-04 00:19:00,-2050156.46304
2018-06-04 00:20:00,-2050155.81414
2018-06-04 00:21:00,-2050161.65424
2018-06-04 00:22:00,-2050161.65424
2018-06-04 00:23:00,-2050159.70754
2018-06-04 00:24:00,-2050164.24984
2018-06-04 00:25:00,-2050160.35644
2018-06-04 00:26:00,-2050164.89874
2018-06-04 00:27:00,-2050160.35644
2018-06-04 00:28:00,-2050173.33444
2018-06-04 00:29:00,-2050162.30314
2018-06-04 00:30:00,-2050161.65424
2018-06-04 00:31:00,-2050162.30314
2018-06-04 00:32:00,-2050162.30314
2018-06-04 00:33:00,-2050166.84544
2018-06-04 00:34:00,-2050165.54764
2018-06-04 00:35:00,-2050162.30314
2018-06-04 00:36:00,-2050164.89874
2018-06-04 00:37:00,-2050160.35644
2018-06-04 00:38:00,-2050168.14324
2018-06-04 00:39:00,-2050162.95204
2018-06-04 00:40:00,-2050164.89874
2018-06-04 00:41:00,-2050160.35644
2018-06-04 00:42:00,-2050162.95204
2018-06-04 00:43:00,-2050162.95204
2018-06-04 00:44:00,-2050162.95204
2018-06-04 00:45:00,-2050168.14324
2018-06-04 00:46:00,-2050170.73884
2018-06-04 00:47:00,-2050170.73884
2018-06-04 00:48:00,-2050168.79214
2018-06-04 00:49:00,-2050168.79214
2018-06-04 00:50:00,-2050170.08994
2018-06-04 00:51:00,-2050170.73884
2018-06-04 00:52:00,-2050156.46304
2018-06-04 00:53:00,-2050160.35644
2018-06-04 00:54:00,-2050153.86744
2018-06-04 00:55:00,-2050161.65424
2018-06-04 00:56:00,-2050163.60094
2018-06-04 00:57:00,-2050164.24984
2018-06-04 00:58:00,-2050163.60094
2018-06-04 00:59:00,-2050170.08994
2018-06-04 01:00:00,-2050170.73884
2018-06-04 01:01:00,-2050170.73884
2018-06-04 01:02:00,-2050170.73884
2018-06-04 01:03:00,-2050168.14324
2018-06-04 01:04:00,-2050161.65424
2018-06-04 01:05:00,-2050163.60094
2018-06-04 01:06:00,-2050166.19654
2018-06-04 01:07:00,-2050164.89874
2018-06-04 01:08:00,-2050163.60094
2018-06-04 01:09:00,-2050167.49434
2018-06-04 01:10:00,-2050161.65424
2018-06-04 01:11:00,-2050166.19654
2018-06-04 01:12:00,-2050167.49434
2018-06-04 01:13:00,-2050164.89874
2018-06-04 01:14:00,-2050166.84544
2018-06-04 01:15:00,-2050168.79214
2018-06-04 01:16:00,-2050161.00534
2018-06-04 01:17:00,-2050152.56964
2018-06-04 01:18:00,-2050159.05864
2018-06-04 01:19:00,-2050165.54764
2018-06-04 01:20:00,-2050161.00534
2018-06-04 01:21:00,-2050165.54764
2018-06-04 01:22:00,-2050168.79214
2018-06-04 01:23:00,-2050170.73884
2018-06-04 01:24:00,-2050173.33444
2018-06-04 01:25:00,-2050173.98334
2018-06-04 01:26:00,-2050167.49434
2018-06-04 01:27:00,-2050167.49434
2018-06-04 01:28:00,-2050155.81414
2018-06-04 01:29:00,-2050159.05864
2018-06-04 01:30:00,-2050166.84544
2018-06-04 01:31:00,-2050165.54764
2018-06-04 01:32:00,-2050162.30314
2018-06-04 01:33:00,-2050159.70754
2018-06-04 01:34:00,-2050168.14324
2018-06-04 01:35:00,-2050181.77014
2018-06-04 01:36:00,-2050172.68554
2018-06-04 01:37:00,-2050182.41904
2018-06-04 01:38:00,-2050175.93004
2018-06-04 01:39:00,-2050162.95204
2018-06-04 01:40:00,-2050166.84544
2018-06-04 01:41:00,-2050164.24984
2018-06-04 01:42:00,-2050159.05864
2018-06-04 01:43:00,-2050157.76084
2018-06-04 01:44:00,-2050156.46304
2018-06-04 01:45:00,-2050149.97404
2018-06-04 01:46:00,-2050156.46304
2018-06-04 01:47:00,-2050146.08064
2018-06-04 01:48:00,-2050150.62294
2018-06-04 01:49:00,-2050146.72954
2018-06-04 01:50:00,-2050129.85814
2018-06-04 01:51:00,-2050127.26254
2018-06-04 01:52:00,-2050124.01804
2018-06-04 01:53:00,-2050129.85814
2018-06-04 01:54:00,-2050116.23124
2018-06-04 01:55:00,-2050120.77354
2018-06-04 01:56:00,-2050114.93344
2018-06-04 01:57:00,-2050116.88014
2018-06-04 01:58:00,-2050108.44444
2018-06-04 01:59:00,-2050115.58234
2018-06-04 02:00:00,-2050117.52904
2018-06-04 02:01:00,-2050112.33784
2018-06-04 02:02:00,-2050107.79554
2018-06-04 02:03:00,-2050115.58234
2018-06-04 02:04:00,-2050106.49774
2018-06-04 02:05:00,-2050113.63564
2018-06-04 02:06:00,-2050106.49774
2018-06-04 02:07:00,-2050097.41314
2018-06-04 02:08:00,-2050099.35984
2018-06-04 02:09:00,-2050092.22194
2018-06-04 02:10:00,-2050089.62634
2018-06-04 02:11:00,-2050090.92414
2018-06-04 02:12:00,-2050088.32854
2018-06-04 02:13:00,-2050082.48844
2018-06-04 02:14:00,-2050074.05274
2018-06-04 02:15:00,-2050081.83954
2018-06-04 02:16:00,-2050072.10604
2018-06-04 02:17:00,-2050065.61704
2018-06-04 02:18:00,-2050063.02144
2018-06-04 02:19:00,-2050059.77694
2018-06-04 02:20:00,-2050040.30994
2018-06-04 02:21:00,-2050040.95884
2018-06-04 02:22:00,-2050063.67034
2018-06-04 02:23:00,-2050037.71434
2018-06-04 02:24:00,-2050043.55444
2018-06-04 02:25:00,-2050046.79894
2018-06-04 02:26:00,-2050051.99014
2018-06-04 02:27:00,-2050048.74564
2018-06-04 02:28:00,-2050056.53244
2018-06-04 02:29:00,-2050064.31924
2018-06-04 02:30:00,-2050078.59504
2018-06-04 02:31:00,-2050055.23464
2018-06-04 02:32:00,-2050072.10604
2018-06-04 02:33:00,-2050068.86154
2018-06-04 02:34:00,-2050059.77694
2018-06-04 02:35:00,-2050075.35054
2018-06-04 02:36:00,-2050079.89284
2018-06-04 02:37:00,-2050077.29724
2018-06-04 02:38:00,-2050079.89284
2018-06-04 02:39:00,-2050075.99944
2018-06-04 02:40:00,-2050074.70164
2018-06-04 02:41:00,-2050077.29724
2018-06-04 02:42:00,-2050084.43514
2018-06-04 02:43:00,-2050082.48844
2018-06-04 02:44:00,-2050082.48844
2018-06-04 02:45:00,-2050092.22194
2018-06-04 02:46:00,-2050090.92414
2018-06-04 02:47:00,-2050096.11534
2018-06-04 02:48:00,-2050090.92414
2018-06-04 02:49:00,-2050101.30654
2018-06-04 02:50:00,-2050103.25324
2018-06-04 02:51:00,-2050105.84884
2018-06-04 02:52:00,-2050109.09334
2018-06-04 02:53:00,-2050095.46644
2018-06-04 02:54:00,-2050105.84884
2018-06-04 02:55:00,-2050112.98674
2018-06-04 02:56:00,-2050126.61364
2018-06-04 02:57:00,-2050119.47574
2018-06-04 02:58:00,-2050133.10264
2018-06-04 02:59:00,-2050130.50704
2018-06-04 03:00:00,-2050131.80484
2018-06-04 03:01:00,-2050144.78284
2018-06-04 03:02:00,-2050135.69824
2018-06-04 03:03:00,-2050125.96474
2018-06-04 03:04:00,-2050098.71094
2018-06-04 03:05:00,-2050092.87084
2018-06-04 03:06:00,-2050079.89284
2018-06-04 03:07:00,-2050093.51974
2018-06-04 03:08:00,-2050096.76424
2018-06-04 03:09:00,-2050094.81754
2018-06-04 03:10:00,-2050103.25324
2018-06-04 03:11:00,-2050109.09334
2018-06-04 03:12:00,-2050105.84884
2018-06-04 03:13:00,-2050103.25324
2018-06-04 03:14:00,-2050108.44444
2018-06-04 03:15:00,-2050106.49774
2018-06-04 03:16:00,-2050100.65764
2018-06-04 03:17:00,-2050101.30654
2018-06-04 03:18:00,-2050104.55104
2018-06-04 03:19:00,-2050101.95544
2018-06-04 03:20:00,-2050116.23124
2018-06-04 03:21:00,-2050122.72024
2018-06-04 03:22:00,-2050115.58234
2018-06-04 03:23:00,-2050120.12464
2018-06-04 03:24:00,-2050118.82684
2018-06-04 03:25:00,-2050110.39114
2018-06-04 03:26:00,-2050106.49774
2018-06-04 03:27:00,-2050114.93344
2018-06-04 03:28:00,-2050104.55104
2018-06-04 03:29:00,-2050103.90214
2018-06-04 03:30:00,-2050103.25324
2018-06-04 03:31:00,-2050109.09334
2018-06-04 03:32:00,-2050114.93344
2018-06-04 03:33:00,-2050100.00874
2018-06-04 03:34:00,-2050092.87084
2018-06-04 03:35:00,-2050112.33784
2018-06-04 03:36:00,-2050107.14664
2018-06-04 03:37:00,-2050092.87084
2018-06-04 03:38:00,-2050103.90214
2018-06-04 03:39:00,-2050105.19994
2018-06-04 03:40:00,-2050105.84884
2018-06-04 03:41:00,-2050107.79554
2018-06-04 03:42:00,-2050112.33784
