,RB3
2018-07-22 16:59:00,87431.1459
2018-07-22 17:00:00,87430.2324
2018-07-22 17:01:00,87431.7549
2018-07-22 17:02:00,87418.9659
2018-07-22 17:03:00,87415.0074
2018-07-22 17:04:00,87434.1909
2018-07-22 17:05:00,87434.1909
2018-07-22 17:06:00,87434.4954
2018-07-22 17:07:00,87435.7134
2018-07-22 17:08:00,87441.1944
2018-07-22 17:09:00,87433.8864
2018-07-22 17:10:00,87435.7134
2018-07-22 17:11:00,87434.7999
2018-07-22 17:12:00,87436.3224
2018-07-22 17:13:00,87435.7134
2018-07-22 17:14:00,87435.7134
2018-07-22 17:15:00,87433.8864
2018-07-22 17:16:00,87435.4089
2018-07-22 17:17:00,87432.9729
2018-07-22 17:18:00,87432.9729
2018-07-22 17:19:00,87430.8414
2018-07-22 17:20:00,87440.8899
2018-07-22 17:21:00,87435.4089
2018-07-22 17:22:00,87435.4089
2018-07-22 17:23:00,87440.5854
2018-07-22 17:24:00,87440.5854
2018-07-22 17:25:00,87440.5854
2018-07-22 17:26:00,87440.5854
2018-07-22 17:27:00,87444.2394
2018-07-22 17:28:00,87444.2394
2018-07-22 17:29:00,87444.5439
2018-07-22 17:30:00,87444.5439
2018-07-22 17:31:00,87444.5439
2018-07-22 17:32:00,87444.5439
2018-07-22 17:33:00,87444.8484
2018-07-22 17:34:00,87444.5439
2018-07-22 17:35:00,87445.1529
2018-07-22 17:36:00,87444.8484
2018-07-22 17:37:00,87444.8484
2018-07-22 17:38:00,87444.8484
2018-07-22 17:39:00,87444.8484
2018-07-22 17:40:00,87444.5439
2018-07-22 17:41:00,87444.5439
2018-07-22 17:42:00,87444.5439
2018-07-22 17:43:00,87444.5439
2018-07-22 17:44:00,87444.8484
2018-07-22 17:45:00,87445.1529
2018-07-22 17:46:00,87444.8484
2018-07-22 17:47:00,87444.5439
2018-07-22 17:48:00,87443.6304
2018-07-22 17:49:00,87444.5439
2018-07-22 17:50:00,87443.3259
2018-07-22 17:51:00,87440.5854
2018-07-22 17:52:00,87440.5854
2018-07-22 17:53:00,87440.5854
2018-07-22 17:54:00,87440.2809
2018-07-22 17:55:00,87443.0214
2018-07-22 17:56:00,87443.0214
2018-07-22 17:57:00,87443.3259
2018-07-22 17:58:00,87444.2394
2018-07-22 17:59:00,87444.2394
2018-07-22 18:00:00,87444.2394
2018-07-22 18:01:00,87444.2394
2018-07-22 18:02:00,87444.2394
2018-07-22 18:03:00,87444.2394
2018-07-22 18:04:00,87444.2394
2018-07-22 18:05:00,87444.2394
2018-07-22 18:06:00,87446.0664
2018-07-22 18:07:00,87446.0664
2018-07-22 18:08:00,87447.2844
2018-07-22 18:09:00,87447.2844
2018-07-22 18:10:00,87447.8934
2018-07-22 18:11:00,87454.5924
2018-07-22 18:12:00,87454.5924
2018-07-22 18:13:00,87454.5924
2018-07-22 18:14:00,87457.9419
2018-07-22 18:15:00,87457.9419
2018-07-22 18:16:00,87458.2464
2018-07-22 18:17:00,87458.2464
2018-07-22 18:18:00,87457.9419
2018-07-22 18:19:00,87457.9419
2018-07-22 18:20:00,87457.9419
2018-07-22 18:21:00,87457.9419
2018-07-22 18:22:00,87455.5059
2018-07-22 18:23:00,87455.5059
2018-07-22 18:24:00,87455.5059
2018-07-22 18:25:00,87455.5059
2018-07-22 18:26:00,87453.0699
2018-07-22 18:27:00,87453.0699
2018-07-22 18:28:00,87453.0699
2018-07-22 18:29:00,87451.5474
2018-07-22 18:30:00,87448.5024
2018-07-22 18:31:00,87448.5024
2018-07-22 18:32:00,87449.1114
2018-07-22 18:33:00,87443.6304
2018-07-22 18:34:00,87443.6304
2018-07-22 18:35:00,87445.7619
2018-07-22 18:36:00,87445.7619
2018-07-22 18:37:00,87445.7619
2018-07-22 18:38:00,87445.7619
2018-07-22 18:39:00,87445.7619
2018-07-22 18:40:00,87445.7619
2018-07-22 18:41:00,87445.7619
2018-07-22 18:42:00,87445.7619
2018-07-22 18:43:00,87445.1529
