,RB4
2018-06-04 00:00:00,100600.9578
2018-06-04 00:01:00,100600.9578
2018-06-04 00:02:00,100600.9578
2018-06-04 00:03:00,100600.9578
2018-06-04 00:04:00,100607.3838
2018-06-04 00:05:00,100606.7412
2018-06-04 00:06:00,100606.7412
2018-06-04 00:07:00,100605.456
2018-06-04 00:08:00,100608.0264
2018-06-04 00:09:00,100608.0264
2018-06-04 00:10:00,100607.3838
2018-06-04 00:11:00,100608.0264
2018-06-04 00:12:00,100608.669
2018-06-04 00:13:00,100606.7412
2018-06-04 00:14:00,100606.7412
2018-06-04 00:15:00,100606.7412
2018-06-04 00:16:00,100606.7412
2018-06-04 00:17:00,100606.7412
2018-06-04 00:18:00,100606.7412
2018-06-04 00:19:00,100606.7412
2018-06-04 00:20:00,100608.0264
2018-06-04 00:21:00,100606.7412
2018-06-04 00:22:00,100606.7412
2018-06-04 00:23:00,100602.243
2018-06-04 00:24:00,100602.8856
2018-06-04 00:25:00,100602.243
2018-06-04 00:26:00,100601.6004
2018-06-04 00:27:00,100606.7412
2018-06-04 00:28:00,100597.1022
2018-06-04 00:29:00,100602.243
2018-06-04 00:30:00,100606.0986
2018-06-04 00:31:00,100603.5282
2018-06-04 00:32:00,100603.5282
2018-06-04 00:33:00,100601.6004
2018-06-04 00:34:00,100601.6004
2018-06-04 00:35:00,100600.9578
2018-06-04 00:36:00,100600.9578
2018-06-04 00:37:00,100602.243
2018-06-04 00:38:00,100598.3874
2018-06-04 00:39:00,100602.8856
2018-06-04 00:40:00,100600.9578
2018-06-04 00:41:00,100601.6004
2018-06-04 00:42:00,100602.243
2018-06-04 00:43:00,100602.243
2018-06-04 00:44:00,100600.9578
2018-06-04 00:45:00,100601.6004
2018-06-04 00:46:00,100599.03
2018-06-04 00:47:00,100597.7448
2018-06-04 00:48:00,100595.817
2018-06-04 00:49:00,100595.817
2018-06-04 00:50:00,100595.817
2018-06-04 00:51:00,100595.1744
2018-06-04 00:52:00,100609.9542
2018-06-04 00:53:00,100606.0986
2018-06-04 00:54:00,100608.669
2018-06-04 00:55:00,100603.5282
2018-06-04 00:56:00,100603.5282
2018-06-04 00:57:00,100600.9578
2018-06-04 00:58:00,100600.3152
2018-06-04 00:59:00,100596.4596
2018-06-04 01:00:00,100599.03
2018-06-04 01:01:00,100595.1744
2018-06-04 01:02:00,100597.1022
2018-06-04 01:03:00,100599.03
2018-06-04 01:04:00,100601.6004
2018-06-04 01:05:00,100603.5282
2018-06-04 01:06:00,100604.1708
2018-06-04 01:07:00,100601.6004
2018-06-04 01:08:00,100601.6004
2018-06-04 01:09:00,100598.3874
2018-06-04 01:10:00,100602.243
2018-06-04 01:11:00,100599.6726
2018-06-04 01:12:00,100599.6726
2018-06-04 01:13:00,100602.243
2018-06-04 01:14:00,100600.3152
2018-06-04 01:15:00,100596.4596
2018-06-04 01:16:00,100605.456
2018-06-04 01:17:00,100613.1672
2018-06-04 01:18:00,100613.8098
2018-06-04 01:19:00,100615.095
2018-06-04 01:20:00,100615.095
2018-06-04 01:21:00,100617.6654
2018-06-04 01:22:00,100611.882
2018-06-04 01:23:00,100611.2394
2018-06-04 01:24:00,100613.8098
2018-06-04 01:25:00,100613.1672
2018-06-04 01:26:00,100617.0228
2018-06-04 01:27:00,100617.0228
2018-06-04 01:28:00,100620.2358
2018-06-04 01:29:00,100620.8784
2018-06-04 01:30:00,100619.5932
2018-06-04 01:31:00,100617.6654
2018-06-04 01:32:00,100620.2358
2018-06-04 01:33:00,100620.8784
2018-06-04 01:34:00,100616.3802
2018-06-04 01:35:00,100609.9542
2018-06-04 01:36:00,100607.3838
2018-06-04 01:37:00,100610.5968
2018-06-04 01:38:00,100617.0228
2018-06-04 01:39:00,100622.1636
2018-06-04 01:40:00,100624.734
2018-06-04 01:41:00,100628.5896
2018-06-04 01:42:00,100629.2322
2018-06-04 01:43:00,100629.2322
2018-06-04 01:44:00,100631.16
2018-06-04 01:45:00,100635.0156
2018-06-04 01:46:00,100632.4452
2018-06-04 01:47:00,100636.3008
2018-06-04 01:48:00,100633.7304
2018-06-04 01:49:00,100641.4416
2018-06-04 01:50:00,100649.1528
2018-06-04 01:51:00,100653.651
2018-06-04 01:52:00,100650.438
2018-06-04 01:53:00,100649.1528
2018-06-04 01:54:00,100660.7196
2018-06-04 01:55:00,100657.5066
2018-06-04 01:56:00,100659.4344
2018-06-04 01:57:00,100658.7918
2018-06-04 01:58:00,100666.503
2018-06-04 01:59:00,100665.8604
2018-06-04 02:00:00,100657.5066
2018-06-04 02:01:00,100665.8604
2018-06-04 02:02:00,100671.0012
2018-06-04 02:03:00,100670.3586
2018-06-04 02:04:00,100674.8568
2018-06-04 02:05:00,100676.142
2018-06-04 02:06:00,100686.4236
2018-06-04 02:07:00,100694.7774
