,ESB
2018-09-14 02:20:00,-59.589143208
2018-09-14 02:21:00,-59.589143208
2018-09-14 02:22:00,-59.589143208
2018-09-14 02:23:00,-76.601003208
2018-09-14 02:24:00,-59.589143208
2018-09-14 02:25:00,-59.589143208
2018-09-14 02:26:00,-42.577283208
2018-09-14 02:27:00,-42.577283208
2018-09-14 02:28:00,-42.577283208
2018-09-14 02:29:00,-59.589143208
2018-09-14 02:30:00,-51.083213208
2018-09-14 02:31:00,-59.589143208
2018-09-14 02:32:00,-59.589143208
2018-09-14 02:33:00,-25.565423208
2018-09-14 02:34:00,-42.577283208
2018-09-14 02:35:00,-25.565423208
2018-09-14 02:36:00,-25.565423208
2018-09-14 02:37:00,-42.577283208
2018-09-14 02:38:00,-42.577283208
2018-09-14 02:39:00,-42.577283208
2018-09-14 02:40:00,-42.577283208
2018-09-14 02:41:00,-25.565423208
2018-09-14 02:42:00,-42.577283208
2018-09-14 02:43:00,-25.565423208
2018-09-14 02:44:00,-25.565423208
2018-09-14 02:45:00,-8.553563208
2018-09-14 02:46:00,-8.553563208
2018-09-14 02:47:00,-8.553563208
2018-09-14 02:48:00,-0.0476332080018
2018-09-14 02:49:00,-8.553563208
2018-09-14 02:50:00,-8.553563208
2018-09-14 02:51:00,-8.553563208
2018-09-14 02:52:00,-8.553563208
2018-09-14 02:53:00,-8.553563208
2018-09-14 02:54:00,-8.553563208
2018-09-14 02:55:00,-25.565423208
2018-09-14 02:56:00,-25.565423208
2018-09-14 02:57:00,-42.577283208
2018-09-14 02:58:00,-42.577283208
2018-09-14 02:59:00,-59.589143208
2018-09-14 03:00:00,-59.589143208
2018-09-14 03:01:00,-68.095073208
2018-09-14 03:02:00,-59.589143208
2018-09-14 03:03:00,-42.577283208
2018-09-14 03:04:00,-42.577283208
2018-09-14 03:05:00,-25.565423208
2018-09-14 03:06:00,-25.565423208
2018-09-14 03:07:00,-25.565423208
2018-09-14 03:08:00,-8.553563208
2018-09-14 03:09:00,-8.553563208
2018-09-14 03:10:00,-25.565423208
2018-09-14 03:11:00,-25.565423208
2018-09-14 03:12:00,-25.565423208
2018-09-14 03:13:00,-42.577283208
2018-09-14 03:14:00,-42.577283208
2018-09-14 03:15:00,-42.577283208
2018-09-14 03:16:00,-42.577283208
2018-09-14 03:17:00,-42.577283208
2018-09-14 03:18:00,-59.589143208
2018-09-14 03:19:00,-59.589143208
2018-09-14 03:20:00,-42.577283208
2018-09-14 03:21:00,-42.577283208
2018-09-14 03:22:00,-42.577283208
2018-09-14 03:23:00,-42.577283208
2018-09-14 03:24:00,-25.565423208
2018-09-14 03:25:00,-25.565423208
2018-09-14 03:26:00,-25.565423208
2018-09-14 03:27:00,-42.577283208
2018-09-14 03:28:00,-42.577283208
2018-09-14 03:29:00,-59.589143208
2018-09-14 03:30:00,-59.589143208
2018-09-14 03:31:00,-76.601003208
2018-09-14 03:32:00,-93.612863208
2018-09-14 03:33:00,-93.612863208
2018-09-14 03:34:00,-93.612863208
2018-09-14 03:35:00,-110.624723208
2018-09-14 03:36:00,-110.624723208
2018-09-14 03:37:00,-110.624723208
2018-09-14 03:38:00,-110.624723208
2018-09-14 03:39:00,-110.624723208
2018-09-14 03:40:00,-119.130653208
2018-09-14 03:41:00,-127.636583208
2018-09-14 03:42:00,-110.624723208
