,HO5
2018-07-22 16:59:00,-40547.33424
2018-07-22 17:00:00,-40304.83674
2018-07-22 17:01:00,-40302.64644
2018-07-22 17:02:00,-40295.13684
2018-07-22 17:03:00,-40297.95294
2018-07-22 17:04:00,-40294.51104
2018-07-22 17:05:00,-40284.49824
2018-07-22 17:06:00,-40279.17894
2018-07-22 17:07:00,-40277.92734
2018-07-22 17:08:00,-40277.92734
2018-07-22 17:09:00,-40281.05634
2018-07-22 17:10:00,-40284.18534
2018-07-22 17:11:00,-40279.49184
2018-07-22 17:12:00,-40279.80474
2018-07-22 17:13:00,-40281.99504
2018-07-22 17:14:00,-40279.80474
2018-07-22 17:15:00,-40279.80474
2018-07-22 17:16:00,-40282.62084
2018-07-22 17:17:00,-40282.62084
2018-07-22 17:18:00,-40283.55954
2018-07-22 17:19:00,-40282.93374
2018-07-22 17:20:00,-40279.49184
2018-07-22 17:21:00,-40280.11764
2018-07-22 17:22:00,-40280.74344
2018-07-22 17:23:00,-40280.74344
2018-07-22 17:24:00,-40280.74344
2018-07-22 17:25:00,-40280.74344
2018-07-22 17:26:00,-40280.74344
2018-07-22 17:27:00,-40280.74344
2018-07-22 17:28:00,-40280.74344
2018-07-22 17:29:00,-40279.17894
2018-07-22 17:30:00,-40279.80474
2018-07-22 17:31:00,-40279.17894
2018-07-22 17:32:00,-40277.30154
2018-07-22 17:33:00,-40277.30154
2018-07-22 17:34:00,-40277.30154
2018-07-22 17:35:00,-40277.30154
2018-07-22 17:36:00,-40279.17894
2018-07-22 17:37:00,-40279.49184
2018-07-22 17:38:00,-40279.49184
2018-07-22 17:39:00,-40280.11764
2018-07-22 17:40:00,-40279.80474
2018-07-22 17:41:00,-40277.61444
2018-07-22 17:42:00,-40279.49184
2018-07-22 17:43:00,-40279.17894
2018-07-22 17:44:00,-40279.49184
2018-07-22 17:45:00,-40279.17894
2018-07-22 17:46:00,-40279.49184
2018-07-22 17:47:00,-40279.49184
2018-07-22 17:48:00,-40279.49184
2018-07-22 17:49:00,-40279.49184
2018-07-22 17:50:00,-40279.80474
2018-07-22 17:51:00,-40281.05634
2018-07-22 17:52:00,-40281.05634
2018-07-22 17:53:00,-40281.05634
2018-07-22 17:54:00,-40281.05634
2018-07-22 17:55:00,-40279.49184
2018-07-22 17:56:00,-40279.49184
2018-07-22 17:57:00,-40277.92734
2018-07-22 17:58:00,-40276.36284
2018-07-22 17:59:00,-40276.67574
2018-07-22 18:00:00,-40275.42414
2018-07-22 18:01:00,-40275.42414
2018-07-22 18:02:00,-40275.42414
2018-07-22 18:03:00,-40275.42414
2018-07-22 18:04:00,-40275.42414
2018-07-22 18:05:00,-40275.42414
2018-07-22 18:06:00,-40271.35644
2018-07-22 18:07:00,-40270.73064
2018-07-22 18:08:00,-40270.73064
2018-07-22 18:09:00,-40270.73064
2018-07-22 18:10:00,-40270.73064
2018-07-22 18:11:00,-40264.78554
2018-07-22 18:12:00,-40264.47264
2018-07-22 18:13:00,-40264.47264
2018-07-22 18:14:00,-40261.34364
2018-07-22 18:15:00,-40261.34364
2018-07-22 18:16:00,-40261.34364
2018-07-22 18:17:00,-40261.34364
2018-07-22 18:18:00,-40261.34364
2018-07-22 18:19:00,-40261.34364
2018-07-22 18:20:00,-40261.34364
2018-07-22 18:21:00,-40261.34364
2018-07-22 18:22:00,-40261.34364
2018-07-22 18:23:00,-40261.34364
2018-07-22 18:24:00,-40261.34364
2018-07-22 18:25:00,-40261.34364
2018-07-22 18:26:00,-40261.65654
2018-07-22 18:27:00,-40261.65654
2018-07-22 18:28:00,-40261.65654
2018-07-22 18:29:00,-40266.03714
2018-07-22 18:30:00,-40267.28874
2018-07-22 18:31:00,-40267.28874
2018-07-22 18:32:00,-40266.97584
2018-07-22 18:33:00,-40271.98224
2018-07-22 18:34:00,-40271.66934
2018-07-22 18:35:00,-40271.66934
2018-07-22 18:36:00,-40271.35644
2018-07-22 18:37:00,-40271.66934
2018-07-22 18:38:00,-40271.66934
2018-07-22 18:39:00,-40271.66934
2018-07-22 18:40:00,-40271.98224
2018-07-22 18:41:00,-40271.98224
2018-07-22 18:42:00,-40271.98224
2018-07-22 18:43:00,-40275.11124
2018-07-22 18:44:00,-40275.11124
2018-07-22 18:45:00,-40276.04994
2018-07-22 18:46:00,-40275.73704
2018-07-22 18:47:00,-40275.73704
2018-07-22 18:48:00,-40276.67574
2018-07-22 18:49:00,-40276.36284
2018-07-22 18:50:00,-40276.04994
2018-07-22 18:51:00,-40278.86604
2018-07-22 18:52:00,-40276.04994
2018-07-22 18:53:00,-40276.04994
2018-07-22 18:54:00,-40274.17254
