,CP6
2018-08-16 02:29:00,-3760.64
2018-08-16 02:30:00,-3652.16
2018-08-16 02:31:00,-3724.48
2018-08-16 02:32:00,-3760.64
2018-08-16 02:33:00,-3832.96
2018-08-16 02:34:00,-4013.76
2018-08-16 02:35:00,-3941.44
2018-08-16 02:36:00,-4158.4
2018-08-16 02:37:00,-4230.72
2018-08-16 02:38:00,-4375.36
2018-08-16 02:39:00,-4339.2
2018-08-16 02:40:00,-4303.04
2018-08-16 02:41:00,-4086.08
2018-08-16 02:42:00,-3977.6
2018-08-16 02:43:00,-3941.44
2018-08-16 02:44:00,-3977.6
2018-08-16 02:45:00,-3869.12
2018-08-16 02:46:00,-4049.92
2018-08-16 02:47:00,-4049.92
2018-08-16 02:48:00,-4049.92
2018-08-16 02:49:00,-4122.24
2018-08-16 02:50:00,-4266.88
2018-08-16 02:51:00,-4266.88
2018-08-16 02:52:00,-4122.24
2018-08-16 02:53:00,-4266.88
2018-08-16 02:54:00,-4556.16
2018-08-16 02:55:00,-4556.16
2018-08-16 02:56:00,-4556.16
2018-08-16 02:57:00,-4483.84
2018-08-16 02:58:00,-4411.52
2018-08-16 02:59:00,-4266.88
2018-08-16 03:00:00,-4520.0
2018-08-16 03:01:00,-4483.84
2018-08-16 03:02:00,-4049.92
2018-08-16 03:03:00,-3796.8
2018-08-16 03:04:00,-3579.84
2018-08-16 03:05:00,-3688.32
2018-08-16 03:06:00,-3543.68
2018-08-16 03:07:00,-3507.52
2018-08-16 03:08:00,-3471.36
2018-08-16 03:09:00,-3579.84
2018-08-16 03:10:00,-3543.68
2018-08-16 03:11:00,-3399.04
2018-08-16 03:12:00,-3435.2
2018-08-16 03:13:00,-3543.68
2018-08-16 03:14:00,-3471.36
2018-08-16 03:15:00,-3543.68
2018-08-16 03:16:00,-3616.0
2018-08-16 03:17:00,-3616.0
2018-08-16 03:18:00,-3688.32
2018-08-16 03:19:00,-3832.96
2018-08-16 03:20:00,-3977.6
2018-08-16 03:21:00,-3869.12
2018-08-16 03:22:00,-3869.12
2018-08-16 03:23:00,-3724.48
2018-08-16 03:24:00,-3688.32
2018-08-16 03:25:00,-3724.48
2018-08-16 03:26:00,-3760.64
2018-08-16 03:27:00,-3616.0
2018-08-16 03:28:00,-3688.32
2018-08-16 03:29:00,-3760.64
2018-08-16 03:30:00,-3977.6
2018-08-16 03:31:00,-4230.72
2018-08-16 03:32:00,-4086.08
2018-08-16 03:33:00,-4194.56
2018-08-16 03:34:00,-4447.68
2018-08-16 03:35:00,-4122.24
2018-08-16 03:36:00,-4122.24
2018-08-16 03:37:00,-3905.28
2018-08-16 03:38:00,-4122.24
2018-08-16 03:39:00,-4230.72
2018-08-16 03:40:00,-4122.24
2018-08-16 03:41:00,-4339.2
2018-08-16 03:42:00,-4483.84
2018-08-16 03:43:00,-4411.52
2018-08-16 03:44:00,-4664.64
2018-08-16 03:45:00,-4773.12
2018-08-16 03:46:00,-4917.76
2018-08-16 03:47:00,-4917.76
2018-08-16 03:48:00,-4881.6
2018-08-16 03:49:00,-4845.44
2018-08-16 03:50:00,-4990.08
2018-08-16 03:51:00,-4845.44
2018-08-16 03:52:00,-4845.44
2018-08-16 03:53:00,-4917.76
2018-08-16 03:54:00,-4700.8
2018-08-16 03:55:00,-4700.8
2018-08-16 03:56:00,-4556.16
2018-08-16 03:57:00,-4520.0
2018-08-16 03:58:00,-4664.64
2018-08-16 03:59:00,-4628.48
2018-08-16 04:00:00,-4592.32
2018-08-16 04:01:00,-4773.12
2018-08-16 04:02:00,-5134.72
2018-08-16 04:03:00,-5496.32
2018-08-16 04:04:00,-5640.96
2018-08-16 04:05:00,-5930.24
2018-08-16 04:06:00,-5496.32
2018-08-16 04:07:00,-5424.0
2018-08-16 04:08:00,-5351.68
2018-08-16 04:09:00,-5279.36
2018-08-16 04:10:00,-5351.68
2018-08-16 04:11:00,-5243.2
2018-08-16 04:12:00,-5207.04
2018-08-16 04:13:00,-5026.24
2018-08-16 04:14:00,-5026.24
2018-08-16 04:15:00,-5134.72
2018-08-16 04:16:00,-5026.24
2018-08-16 04:17:00,-4917.76
2018-08-16 04:18:00,-4990.08
2018-08-16 04:19:00,-4990.08
2018-08-16 04:20:00,-4881.6
2018-08-16 04:21:00,-4483.84
2018-08-16 04:22:00,-4375.36
2018-08-16 04:23:00,-4230.72
2018-08-16 04:24:00,-4230.72
2018-08-16 04:25:00,-4447.68
2018-08-16 04:26:00,-4483.84
2018-08-16 04:27:00,-4592.32
2018-08-16 04:28:00,-4773.12
