,CP1
2018-08-10 02:29:00,7232.0
2018-08-10 02:30:00,6798.08
2018-08-10 02:31:00,6798.08
2018-08-10 02:32:00,6942.72
2018-08-10 02:33:00,6617.28
2018-08-10 02:34:00,6472.64
2018-08-10 02:35:00,6581.12
2018-08-10 02:36:00,6653.44
2018-08-10 02:37:00,6364.16
2018-08-10 02:38:00,6219.52
2018-08-10 02:39:00,6400.32
2018-08-10 02:40:00,6219.52
2018-08-10 02:41:00,6219.52
2018-08-10 02:42:00,5821.76
2018-08-10 02:43:00,6074.88
2018-08-10 02:44:00,6111.04
2018-08-10 02:45:00,6002.56
2018-08-10 02:46:00,5857.92
2018-08-10 02:47:00,5966.4
2018-08-10 02:48:00,5713.28
2018-08-10 02:49:00,5207.04
2018-08-10 02:50:00,4881.6
2018-08-10 02:51:00,4845.44
2018-08-10 02:52:00,5170.88
2018-08-10 02:53:00,5424.0
2018-08-10 02:54:00,5424.0
2018-08-10 02:55:00,5460.16
2018-08-10 02:56:00,5460.16
2018-08-10 02:57:00,5532.48
2018-08-10 02:58:00,5713.28
2018-08-10 02:59:00,5749.44
2018-08-10 03:00:00,5930.24
2018-08-10 03:01:00,6038.72
2018-08-10 03:02:00,6183.36
2018-08-10 03:03:00,6255.68
2018-08-10 03:04:00,6400.32
2018-08-10 03:05:00,6436.48
2018-08-10 03:06:00,6400.32
2018-08-10 03:07:00,6508.8
2018-08-10 03:08:00,6508.8
2018-08-10 03:09:00,6400.32
2018-08-10 03:10:00,6617.28
2018-08-10 03:11:00,6508.8
2018-08-10 03:12:00,6725.76
2018-08-10 03:13:00,6978.88
2018-08-10 03:14:00,6689.6
2018-08-10 03:15:00,6436.48
2018-08-10 03:16:00,6653.44
2018-08-10 03:17:00,6761.92
2018-08-10 03:18:00,6906.56
2018-08-10 03:19:00,6798.08
2018-08-10 03:20:00,6942.72
2018-08-10 03:21:00,7015.04
2018-08-10 03:22:00,7195.84
2018-08-10 03:23:00,7087.36
2018-08-10 03:24:00,7376.64
2018-08-10 03:25:00,7087.36
2018-08-10 03:26:00,7015.04
2018-08-10 03:27:00,7051.2
2018-08-10 03:28:00,6942.72
2018-08-10 03:29:00,7051.2
2018-08-10 03:30:00,7304.32
2018-08-10 03:31:00,7376.64
2018-08-10 03:32:00,7340.48
2018-08-10 03:33:00,7774.4
2018-08-10 03:34:00,8316.8
2018-08-10 03:35:00,8027.52
2018-08-10 03:36:00,7738.24
2018-08-10 03:37:00,7702.08
2018-08-10 03:38:00,7665.92
2018-08-10 03:39:00,7412.8
2018-08-10 03:40:00,7268.16
2018-08-10 03:41:00,7195.84
2018-08-10 03:42:00,7268.16
2018-08-10 03:43:00,7448.96
2018-08-10 03:44:00,7448.96
2018-08-10 03:45:00,7195.84
2018-08-10 03:46:00,7087.36
2018-08-10 03:47:00,7195.84
2018-08-10 03:48:00,7123.52
2018-08-10 03:49:00,7412.8
