,ICEKC
2018-07-16 03:15:00,-4765.88469
2018-07-16 03:16:00,-4778.18469
2018-07-16 03:17:00,-4790.48469
2018-07-16 03:18:00,-4796.63469
2018-07-16 03:19:00,-4796.63469
2018-07-16 03:20:00,-4802.78469
2018-07-16 03:21:00,-4802.78469
2018-07-16 03:22:00,-4802.78469
2018-07-16 03:23:00,-4796.63469
2018-07-16 03:24:00,-4796.63469
2018-07-16 03:25:00,-4784.33469
2018-07-16 03:26:00,-4784.33469
2018-07-16 03:27:00,-4784.33469
2018-07-16 03:28:00,-4784.33469
2018-07-16 03:29:00,-4790.48469
2018-07-16 03:30:00,-4784.33469
2018-07-16 03:31:00,-4784.33469
2018-07-16 03:32:00,-4784.33469
2018-07-16 03:33:00,-4784.33469
2018-07-16 03:34:00,-4765.88469
2018-07-16 03:35:00,-4765.88469
2018-07-16 03:36:00,-4765.88469
2018-07-16 03:37:00,-4768.95969
2018-07-16 03:38:00,-4765.88469
2018-07-16 03:39:00,-4772.03469
2018-07-16 03:40:00,-4772.03469
2018-07-16 03:41:00,-4759.73469
2018-07-16 03:42:00,-4759.73469
2018-07-16 03:43:00,-4759.73469
2018-07-16 03:44:00,-4753.58469
2018-07-16 03:45:00,-4759.73469
2018-07-16 03:46:00,-4765.88469
2018-07-16 03:47:00,-4775.10969
2018-07-16 03:48:00,-4784.33469
2018-07-16 03:49:00,-4784.33469
2018-07-16 03:50:00,-4784.33469
2018-07-16 03:51:00,-4790.48469
2018-07-16 03:52:00,-4772.03469
2018-07-16 03:53:00,-4772.03469
2018-07-16 03:54:00,-4765.88469
2018-07-16 03:55:00,-4765.88469
2018-07-16 03:56:00,-4772.03469
2018-07-16 03:57:00,-4765.88469
2018-07-16 03:58:00,-4765.88469
2018-07-16 03:59:00,-4765.88469
2018-07-16 04:00:00,-4765.88469
2018-07-16 04:01:00,-4765.88469
2018-07-16 04:02:00,-4772.03469
2018-07-16 04:03:00,-4765.88469
2018-07-16 04:04:00,-4765.88469
2018-07-16 04:05:00,-4765.88469
2018-07-16 04:06:00,-4765.88469
2018-07-16 04:07:00,-4765.88469
2018-07-16 04:08:00,-4765.88469
2018-07-16 04:09:00,-4772.03469
2018-07-16 04:10:00,-4772.03469
2018-07-16 04:11:00,-4772.03469
2018-07-16 04:12:00,-4772.03469
2018-07-16 04:13:00,-4778.18469
2018-07-16 04:14:00,-4772.03469
2018-07-16 04:15:00,-4772.03469
2018-07-16 04:16:00,-4772.03469
2018-07-16 04:17:00,-4772.03469
2018-07-16 04:18:00,-4772.03469
2018-07-16 04:19:00,-4775.10969
2018-07-16 04:20:00,-4790.48469
2018-07-16 04:21:00,-4790.48469
2018-07-16 04:22:00,-4790.48469
2018-07-16 04:23:00,-4790.48469
2018-07-16 04:24:00,-4790.48469
2018-07-16 04:25:00,-4790.48469
2018-07-16 04:26:00,-4790.48469
2018-07-16 04:27:00,-4790.48469
