,BAX5
2018-01-02 04:59:00,-1598.84678525
2018-01-02 05:00:00,-1598.84678525
2018-01-02 05:01:00,-1598.84678525
2018-01-02 05:02:00,-1562.77986025
2018-01-02 05:03:00,-1526.71293525
2018-01-02 05:04:00,-1526.71293525
2018-01-02 05:05:00,-1526.71293525
2018-01-02 05:06:00,-1526.71293525
2018-01-02 05:07:00,-1454.57908525
2018-01-02 05:08:00,-1454.57908525
2018-01-02 05:09:00,-1454.57908525
2018-01-02 05:10:00,-1454.57908525
2018-01-02 05:11:00,-1454.57908525
2018-01-02 05:12:00,-1454.57908525
2018-01-02 05:13:00,-1454.57908525
2018-01-02 05:14:00,-1454.57908525
2018-01-02 05:15:00,-1454.57908525
2018-01-02 05:16:00,-1454.57908525
2018-01-02 05:17:00,-1454.57908525
2018-01-02 05:18:00,-1526.71293525
2018-01-02 05:19:00,-1526.71293525
2018-01-02 05:20:00,-1526.71293525
2018-01-02 05:21:00,-1526.71293525
2018-01-02 05:22:00,-1526.71293525
2018-01-02 05:23:00,-1526.71293525
2018-01-02 05:24:00,-1526.71293525
2018-01-02 05:25:00,-1526.71293525
2018-01-02 05:26:00,-1526.71293525
2018-01-02 05:27:00,-1526.71293525
2018-01-02 05:28:00,-1526.71293525
2018-01-02 05:29:00,-1526.71293525
2018-01-02 05:30:00,-1526.71293525
2018-01-02 05:31:00,-1526.71293525
2018-01-02 05:32:00,-1526.71293525
2018-01-02 05:33:00,-1526.71293525
2018-01-02 05:34:00,-1526.71293525
2018-01-02 05:35:00,-1526.71293525
2018-01-02 05:36:00,-1526.71293525
2018-01-02 05:37:00,-1526.71293525
2018-01-02 05:38:00,-1526.71293525
2018-01-02 05:39:00,-1526.71293525
2018-01-02 05:40:00,-1526.71293525
2018-01-02 05:41:00,-1526.71293525
2018-01-02 05:42:00,-1526.71293525
2018-01-02 05:43:00,-1526.71293525
2018-01-02 05:44:00,-1526.71293525
2018-01-02 05:45:00,-1526.71293525
2018-01-02 05:46:00,-1526.71293525
2018-01-02 05:47:00,-1526.71293525
2018-01-02 05:48:00,-1526.71293525
2018-01-02 05:49:00,-1526.71293525
2018-01-02 05:50:00,-1526.71293525
2018-01-02 05:51:00,-1526.71293525
2018-01-02 05:52:00,-1526.71293525
2018-01-02 05:53:00,-1526.71293525
2018-01-02 05:54:00,-1526.71293525
2018-01-02 05:55:00,-1526.71293525
2018-01-02 05:56:00,-1526.71293525
2018-01-02 05:57:00,-1526.71293525
2018-01-02 05:58:00,-1526.71293525
2018-01-02 05:59:00,-1526.71293525
2018-01-02 06:00:00,-1526.71293525
2018-01-02 06:01:00,-1526.71293525
2018-01-02 06:02:00,-1526.71293525
2018-01-02 06:03:00,-1526.71293525
2018-01-02 06:04:00,-1526.71293525
2018-01-02 06:05:00,-1526.71293525
2018-01-02 06:06:00,-1526.71293525
2018-01-02 06:07:00,-1526.71293525
2018-01-02 06:08:00,-1526.71293525
2018-01-02 06:09:00,-1526.71293525
2018-01-02 06:10:00,-1526.71293525
2018-01-02 06:11:00,-1526.71293525
2018-01-02 06:12:00,-1454.57908525
2018-01-02 06:13:00,-1454.57908525
2018-01-02 06:14:00,-1454.57908525
2018-01-02 06:15:00,-1454.57908525
2018-01-02 06:16:00,-1526.71293525
2018-01-02 06:17:00,-1526.71293525
2018-01-02 06:18:00,-1526.71293525
2018-01-02 06:19:00,-1526.71293525
2018-01-02 06:20:00,-1526.71293525
2018-01-02 06:21:00,-1526.71293525
2018-01-02 06:22:00,-1526.71293525
2018-01-02 06:23:00,-1526.71293525
2018-01-02 06:24:00,-1526.71293525
2018-01-02 06:25:00,-1526.71293525
2018-01-02 06:26:00,-1526.71293525
2018-01-02 06:27:00,-1526.71293525
2018-01-02 06:28:00,-1526.71293525
2018-01-02 06:29:00,-1526.71293525
2018-01-02 06:30:00,-1526.71293525
2018-01-02 06:31:00,-1526.71293525
2018-01-02 06:32:00,-1526.71293525
2018-01-02 06:33:00,-1526.71293525
2018-01-02 06:34:00,-1526.71293525
2018-01-02 06:35:00,-1526.71293525
2018-01-02 06:36:00,-1526.71293525
2018-01-02 06:37:00,-1526.71293525
2018-01-02 06:38:00,-1526.71293525
2018-01-02 06:39:00,-1526.71293525
2018-01-02 06:40:00,-1526.71293525
2018-01-02 06:41:00,-1526.71293525
2018-01-02 06:42:00,-1526.71293525
2018-01-02 06:43:00,-1526.71293525
2018-01-02 06:44:00,-1526.71293525
2018-01-02 06:45:00,-1526.71293525
2018-01-02 06:46:00,-1526.71293525
2018-01-02 06:47:00,-1526.71293525
2018-01-02 06:48:00,-1526.71293525
2018-01-02 06:49:00,-1526.71293525
2018-01-02 06:50:00,-1526.71293525
2018-01-02 06:51:00,-1526.71293525
2018-01-02 06:52:00,-1526.71293525
2018-01-02 06:53:00,-1526.71293525
2018-01-02 06:54:00,-1526.71293525
2018-01-02 06:55:00,-1526.71293525
2018-01-02 06:56:00,-1526.71293525
2018-01-02 06:57:00,-1526.71293525
2018-01-02 06:58:00,-1526.71293525
2018-01-02 06:59:00,-1526.71293525
2018-01-02 07:00:00,-1526.71293525
2018-01-02 07:01:00,-1526.71293525
2018-01-02 07:02:00,-1526.71293525
2018-01-02 07:03:00,-1526.71293525
2018-01-02 07:04:00,-1526.71293525
2018-01-02 07:05:00,-1526.71293525
2018-01-02 07:06:00,-1526.71293525
2018-01-02 07:07:00,-1526.71293525
2018-01-02 07:08:00,-1526.71293525
2018-01-02 07:09:00,-1526.71293525
2018-01-02 07:10:00,-1526.71293525
2018-01-02 07:11:00,-1526.71293525
2018-01-02 07:12:00,-1526.71293525
2018-01-02 07:13:00,-1526.71293525
2018-01-02 07:14:00,-1526.71293525
2018-01-02 07:15:00,-1526.71293525
2018-01-02 07:16:00,-1526.71293525
2018-01-02 07:17:00,-1526.71293525
2018-01-02 07:18:00,-1526.71293525
2018-01-02 07:19:00,-1526.71293525
2018-01-02 07:20:00,-1526.71293525
2018-01-02 07:21:00,-1526.71293525
2018-01-02 07:22:00,-1526.71293525
2018-01-02 07:23:00,-1526.71293525
2018-01-02 07:24:00,-1526.71293525
2018-01-02 07:25:00,-1526.71293525
2018-01-02 07:26:00,-1526.71293525
2018-01-02 07:27:00,-1526.71293525
2018-01-02 07:28:00,-1526.71293525
2018-01-02 07:29:00,-1526.71293525
2018-01-02 07:30:00,-1526.71293525
2018-01-02 07:31:00,-1526.71293525
2018-01-02 07:32:00,-1526.71293525
2018-01-02 07:33:00,-1526.71293525
2018-01-02 07:34:00,-1526.71293525
2018-01-02 07:35:00,-1526.71293525
