,CL9
2018-06-03 16:59:00,90232.55442
2018-06-03 17:00:00,90182.87442
2018-06-03 17:01:00,90209.78442
2018-06-03 17:02:00,90213.92442
2018-06-03 17:03:00,90209.78442
2018-06-03 17:04:00,90205.64442
2018-06-03 17:05:00,90220.13442
2018-06-03 17:06:00,90220.13442
2018-06-03 17:07:00,90211.85442
2018-06-03 17:08:00,90213.92442
2018-06-03 17:09:00,90213.92442
2018-06-03 17:10:00,90213.92442
2018-06-03 17:11:00,90213.92442
2018-06-03 17:12:00,90195.29442
2018-06-03 17:13:00,90211.85442
2018-06-03 17:14:00,90211.85442
2018-06-03 17:15:00,90207.71442
2018-06-03 17:16:00,90207.71442
2018-06-03 17:17:00,90213.92442
2018-06-03 17:18:00,90218.06442
2018-06-03 17:19:00,90222.20442
2018-06-03 17:20:00,90218.06442
2018-06-03 17:21:00,90215.99442
2018-06-03 17:22:00,90215.99442
2018-06-03 17:23:00,90180.80442
2018-06-03 17:24:00,90180.80442
2018-06-03 17:25:00,90180.80442
2018-06-03 17:26:00,90180.80442
2018-06-03 17:27:00,90187.01442
2018-06-03 17:28:00,90170.45442
2018-06-03 17:29:00,90164.24442
2018-06-03 17:30:00,90160.10442
2018-06-03 17:31:00,90160.10442
2018-06-03 17:32:00,90164.24442
2018-06-03 17:33:00,90164.24442
2018-06-03 17:34:00,90160.10442
2018-06-03 17:35:00,90164.24442
2018-06-03 17:36:00,90158.03442
2018-06-03 17:37:00,90143.54442
2018-06-03 17:38:00,90143.54442
2018-06-03 17:39:00,90149.75442
2018-06-03 17:40:00,90143.54442
2018-06-03 17:41:00,90143.54442
2018-06-03 17:42:00,90145.61442
2018-06-03 17:43:00,90151.82442
2018-06-03 17:44:00,90153.89442
2018-06-03 17:45:00,90145.61442
2018-06-03 17:46:00,90145.61442
2018-06-03 17:47:00,90143.54442
2018-06-03 17:48:00,90139.40442
2018-06-03 17:49:00,90145.61442
2018-06-03 17:50:00,90147.68442
2018-06-03 17:51:00,90155.96442
2018-06-03 17:52:00,90160.10442
2018-06-03 17:53:00,90170.45442
2018-06-03 17:54:00,90162.17442
2018-06-03 17:55:00,90160.10442
2018-06-03 17:56:00,90162.17442
2018-06-03 17:57:00,90166.31442
2018-06-03 17:58:00,90160.10442
2018-06-03 17:59:00,90160.10442
2018-06-03 18:00:00,90160.10442
2018-06-03 18:01:00,90160.10442
2018-06-03 18:02:00,90168.38442
2018-06-03 18:03:00,90168.38442
2018-06-03 18:04:00,90168.38442
2018-06-03 18:05:00,90168.38442
2018-06-03 18:06:00,90162.17442
2018-06-03 18:07:00,90162.17442
2018-06-03 18:08:00,90162.17442
2018-06-03 18:09:00,90158.03442
2018-06-03 18:10:00,90158.03442
2018-06-03 18:11:00,90158.03442
2018-06-03 18:12:00,90158.03442
2018-06-03 18:13:00,90158.03442
2018-06-03 18:14:00,90158.03442
2018-06-03 18:15:00,90158.03442
2018-06-03 18:16:00,90160.10442
2018-06-03 18:17:00,90160.10442
2018-06-03 18:18:00,90160.10442
2018-06-03 18:19:00,90158.03442
2018-06-03 18:20:00,90158.03442
2018-06-03 18:21:00,90158.03442
2018-06-03 18:22:00,90158.03442
2018-06-03 18:23:00,90158.03442
2018-06-03 18:24:00,90160.10442
2018-06-03 18:25:00,90160.10442
2018-06-03 18:26:00,90160.10442
2018-06-03 18:27:00,90153.89442
2018-06-03 18:28:00,90153.89442
2018-06-03 18:29:00,90151.82442
2018-06-03 18:30:00,90151.82442
2018-06-03 18:31:00,90153.89442
2018-06-03 18:32:00,90151.82442
2018-06-03 18:33:00,90151.82442
2018-06-03 18:34:00,90153.89442
2018-06-03 18:35:00,90151.82442
2018-06-03 18:36:00,90153.89442
2018-06-03 18:37:00,90151.82442
2018-06-03 18:38:00,90158.03442
2018-06-03 18:39:00,90160.10442
