,L_2YR_BUNDLE
2018-01-02 01:29:00,-11533.8690302
2018-01-02 01:30:00,-11533.8690302
2018-01-02 01:31:00,-11533.8690302
2018-01-02 01:32:00,-11533.8690302
2018-01-02 01:33:00,-11533.8690302
2018-01-02 01:34:00,-12605.4824027
2018-01-02 01:35:00,-12605.4824027
2018-01-02 01:36:00,-12605.4824027
2018-01-02 01:37:00,-12605.4824027
2018-01-02 01:38:00,-12605.4824027
2018-01-02 01:39:00,-12605.4824027
2018-01-02 01:40:00,-12605.4824027
2018-01-02 01:41:00,-12498.3210654
2018-01-02 01:42:00,-12498.3210654
2018-01-02 01:43:00,-12498.3210654
2018-01-02 01:44:00,-12605.4824027
2018-01-02 01:45:00,-12712.6437399
2018-01-02 01:46:00,-12712.6437399
2018-01-02 01:47:00,-12712.6437399
2018-01-02 01:48:00,-12712.6437399
2018-01-02 01:49:00,-12819.8050772
2018-01-02 01:50:00,-12926.9664144
2018-01-02 01:51:00,-12926.9664144
2018-01-02 01:52:00,-12926.9664144
2018-01-02 01:53:00,-12926.9664144
2018-01-02 01:54:00,-12926.9664144
2018-01-02 01:55:00,-12926.9664144
2018-01-02 01:56:00,-12926.9664144
2018-01-02 01:57:00,-12926.9664144
2018-01-02 01:58:00,-12926.9664144
2018-01-02 01:59:00,-12926.9664144
2018-01-02 02:00:00,-13141.2890889
2018-01-02 02:01:00,-13355.6117634
2018-01-02 02:02:00,-13569.9344379
2018-01-02 02:03:00,-13569.9344379
2018-01-02 02:04:00,-13569.9344379
2018-01-02 02:05:00,-13569.9344379
2018-01-02 02:06:00,-13569.9344379
2018-01-02 02:07:00,-13569.9344379
2018-01-02 02:08:00,-13569.9344379
2018-01-02 02:09:00,-13462.7731007
2018-01-02 02:10:00,-13462.7731007
2018-01-02 02:11:00,-13677.0957752
2018-01-02 02:12:00,-13677.0957752
2018-01-02 02:13:00,-13998.5797869
2018-01-02 02:14:00,-13998.5797869
2018-01-02 02:15:00,-13998.5797869
2018-01-02 02:16:00,-13998.5797869
2018-01-02 02:17:00,-13998.5797869
2018-01-02 02:18:00,-13998.5797869
2018-01-02 02:19:00,-14105.7411242
2018-01-02 02:20:00,-14105.7411242
2018-01-02 02:21:00,-14105.7411242
2018-01-02 02:22:00,-14105.7411242
2018-01-02 02:23:00,-14105.7411242
2018-01-02 02:24:00,-14105.7411242
2018-01-02 02:25:00,-14105.7411242
2018-01-02 02:26:00,-14105.7411242
2018-01-02 02:27:00,-14105.7411242
2018-01-02 02:28:00,-14105.7411242
2018-01-02 02:29:00,-14105.7411242
