,E6
2018-01-02 00:00:00,-6148.29
2018-01-02 00:01:00,-6145.39
2018-01-02 00:02:00,-6142.49
2018-01-02 00:03:00,-6139.59
2018-01-02 00:04:00,-6136.69
2018-01-02 00:05:00,-6136.69
2018-01-02 00:06:00,-6139.59
2018-01-02 00:07:00,-6136.69
2018-01-02 00:08:00,-6139.59
2018-01-02 00:09:00,-6145.39
2018-01-02 00:10:00,-6148.29
2018-01-02 00:11:00,-6145.39
2018-01-02 00:12:00,-6142.49
2018-01-02 00:13:00,-6122.19
2018-01-02 00:14:00,-6125.09
2018-01-02 00:15:00,-6125.09
2018-01-02 00:16:00,-6130.89
2018-01-02 00:17:00,-6136.69
2018-01-02 00:18:00,-6139.59
2018-01-02 00:19:00,-6142.49
2018-01-02 00:20:00,-6142.49
2018-01-02 00:21:00,-6139.59
2018-01-02 00:22:00,-6139.59
2018-01-02 00:23:00,-6139.59
2018-01-02 00:24:00,-6139.59
2018-01-02 00:25:00,-6154.09
2018-01-02 00:26:00,-6145.39
2018-01-02 00:27:00,-6148.29
2018-01-02 00:28:00,-6148.29
2018-01-02 00:29:00,-6145.39
2018-01-02 00:30:00,-6151.19
2018-01-02 00:31:00,-6156.99
2018-01-02 00:32:00,-6156.99
2018-01-02 00:33:00,-6156.99
2018-01-02 00:34:00,-6154.09
2018-01-02 00:35:00,-6154.09
2018-01-02 00:36:00,-6148.29
2018-01-02 00:37:00,-6151.19
2018-01-02 00:38:00,-6151.19
2018-01-02 00:39:00,-6145.39
2018-01-02 00:40:00,-6142.49
2018-01-02 00:41:00,-6142.49
2018-01-02 00:42:00,-6142.49
2018-01-02 00:43:00,-6145.39
2018-01-02 00:44:00,-6145.39
2018-01-02 00:45:00,-6151.19
2018-01-02 00:46:00,-6151.19
2018-01-02 00:47:00,-6154.09
2018-01-02 00:48:00,-6154.09
2018-01-02 00:49:00,-6145.39
2018-01-02 00:50:00,-6139.59
2018-01-02 00:51:00,-6136.69
2018-01-02 00:52:00,-6130.89
2018-01-02 00:53:00,-6133.79
2018-01-02 00:54:00,-6136.69
2018-01-02 00:55:00,-6127.99
2018-01-02 00:56:00,-6133.79
2018-01-02 00:57:00,-6119.29
2018-01-02 00:58:00,-6119.29
2018-01-02 00:59:00,-6125.09
2018-01-02 01:00:00,-6133.79
2018-01-02 01:01:00,-6133.79
2018-01-02 01:02:00,-6122.19
2018-01-02 01:03:00,-6127.99
2018-01-02 01:04:00,-6125.09
2018-01-02 01:05:00,-6122.19
2018-01-02 01:06:00,-6123.64
2018-01-02 01:07:00,-6122.19
