,B6
2018-01-02 00:00:00,-11304.35625
2018-01-02 00:01:00,-11300.04375
2018-01-02 00:02:00,-11295.73125
2018-01-02 00:03:00,-11295.73125
2018-01-02 00:04:00,-11295.73125
2018-01-02 00:05:00,-11291.41875
2018-01-02 00:06:00,-11300.04375
2018-01-02 00:07:00,-11291.41875
2018-01-02 00:08:00,-11291.41875
2018-01-02 00:09:00,-11291.41875
2018-01-02 00:10:00,-11287.10625
2018-01-02 00:11:00,-11287.10625
2018-01-02 00:12:00,-11287.10625
2018-01-02 00:13:00,-11282.79375
2018-01-02 00:14:00,-11287.10625
2018-01-02 00:15:00,-11282.79375
2018-01-02 00:16:00,-11282.79375
2018-01-02 00:17:00,-11291.41875
2018-01-02 00:18:00,-11291.41875
2018-01-02 00:19:00,-11295.73125
2018-01-02 00:20:00,-11300.04375
2018-01-02 00:21:00,-11295.73125
2018-01-02 00:22:00,-11300.04375
2018-01-02 00:23:00,-11300.04375
2018-01-02 00:24:00,-11300.04375
2018-01-02 00:25:00,-11308.66875
2018-01-02 00:26:00,-11300.04375
2018-01-02 00:27:00,-11300.04375
2018-01-02 00:28:00,-11304.35625
2018-01-02 00:29:00,-11300.04375
2018-01-02 00:30:00,-11300.04375
2018-01-02 00:31:00,-11310.825
2018-01-02 00:32:00,-11312.98125
2018-01-02 00:33:00,-11308.66875
2018-01-02 00:34:00,-11308.66875
2018-01-02 00:35:00,-11308.66875
2018-01-02 00:36:00,-11308.66875
2018-01-02 00:37:00,-11308.66875
2018-01-02 00:38:00,-11308.66875
2018-01-02 00:39:00,-11295.73125
2018-01-02 00:40:00,-11291.41875
2018-01-02 00:41:00,-11293.575
2018-01-02 00:42:00,-11291.41875
2018-01-02 00:43:00,-11295.73125
2018-01-02 00:44:00,-11295.73125
2018-01-02 00:45:00,-11302.2
2018-01-02 00:46:00,-11300.04375
2018-01-02 00:47:00,-11304.35625
2018-01-02 00:48:00,-11308.66875
2018-01-02 00:49:00,-11304.35625
2018-01-02 00:50:00,-11304.35625
2018-01-02 00:51:00,-11304.35625
2018-01-02 00:52:00,-11295.73125
2018-01-02 00:53:00,-11297.8875
2018-01-02 00:54:00,-11300.04375
2018-01-02 00:55:00,-11297.8875
2018-01-02 00:56:00,-11297.8875
2018-01-02 00:57:00,-11297.8875
2018-01-02 00:58:00,-11297.8875
2018-01-02 00:59:00,-11297.8875
2018-01-02 01:00:00,-11291.41875
2018-01-02 01:01:00,-11280.6375
2018-01-02 01:02:00,-11274.16875
2018-01-02 01:03:00,-11259.075
2018-01-02 01:04:00,-11248.29375
